CardName,CardType,Description
Super Defense Robot Lio," Effect Monster  Machine  1200  1600","When this card is Normal Summoned: You can Special Summon 1 ""Super Defense Robot"" monster or ""Orbital 7"" from your hand. Once per turn, when exactly 1 ""Super Defense Robot"" monster or ""Orbital 7"" (and no other cards) is added from your Graveyard to your hand (except during the Damage Step): You can Special Summon it from your hand."
Super Defense Robot Monki," Effect Monster  Machine  800  1200","When this card is Normal Summoned: You can Special Summon 1 ""Super Defense Robot"" monster or ""Orbital 7"" from your hand. Once per turn: You can banish 1 Machine-Type monster from your Graveyard, then target 1 ""Super Defense Robot"" monster or ""Orbital 7"" in your Graveyard; add that target to your hand."
"Talaya, Princess of Cherry Blossoms"," Effect Monster  Plant  2800  1200",Gains 100 ATK for each Plant monster you control. Other Plant monsters on the field cannot be destroyed by card effects.
The Atmosphere," Effect Monster  Winged Beast  1000  800",Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 2 monsters you control and 1 monster from your Graveyard. Once per turn: You can target 1 face-up monster your opponent controls; equip that target to this card. (You can only equip 1 monster at a time to this card with this effect.) This card gains ATK and DEF equal to the ATK and DEF of that equipped monster.
The Calibrator," Effect Monster  Thunder  1500  1500",This card gains ATK equal to the combined Ranks of all face-up Xyz Monsters your opponent controls x 300.
Tour Bus To Forbidden Realms," Flip Effect Monster  Fiend  600  1000","FLIP: Add 1 Fiend-Type monster from your Deck to your hand, except a DARK or LIGHT monster."
Transmodify," Spell Card  Normal","Send 1 face-up monster you control to the GY; Special Summon from your Deck, 1 monster with the same Type and Attribute as that monster in the GY, but 1 Level higher. You can only activate 1 ""Transmodify"" per turn."
Traptrix Atrax," Effect Monster  Insect  1800  1000","This card is unaffected by the effects of ""Hole"" Normal Trap Cards. You can activate ""Hole"" Normal Trap Cards from your hand. The activation and effects of Normal Trap Cards activated on your side of the field cannot be negated."
Traptrix Myrmeleo," Effect Monster  Insect  1600  1200","This card is unaffected by the effects of ""Hole"" Normal Trap Cards. When this card is Normal Summoned: You can add 1 ""Hole"" Normal Trap Card from your Deck to your hand. If this card is Special Summoned: Target 1 Spell/Trap Card your opponent controls; destroy that target."
Traptrix Nepenthes," Effect Monster  Plant  800  2000","This card is unaffected by the effects of ""Hole"" Normal Trap Cards. If you activate a ""Hole"" Normal Trap Card (except during the Damage Step): You can add to your hand, or Special Summon, 1 ""Traptrix"" monster from your Deck, except ""Traptrix Nepenthes"". You can only use this effect of ""Traptrix Nepenthes"" once per turn."
Traptrix Trap Hole Nightmare," Trap Card  Normal","When a monster that was Special Summoned this turn activates its effect on your opponent's field: Negate that effect, and if you do, destroy that card."
Umbral Horror Ghoul," Effect Monster  Fiend  1800","Once per turn: You can make this card's ATK 0, and if you do, Special Summon 1 ""Umbral Horror"" monster with 0 ATK from your hand."
Umbral Horror Unform," Effect Monster  Fiend","When this card is destroyed by battle and sent to the Graveyard while attacking a monster: You can Special Summon 2 ""Umbral Horror"" monsters from your Deck. You can only use the effect of ""Umbral Horror Unform"" once per turn."
Umbral Horror Will o' the Wisp," Effect Monster  Fiend","When this card is Normal or Special Summoned: You can target 1 ""Umbral Horror"" monster you control or in your Graveyard, except this card; this card's Level becomes the current Level of that monster. When this Attack Position card is destroyed by battle and sent to the Graveyard, and was in face-up Attack Position at the start of the Damage Step: Destroy the monster that destroyed this card."
Underworld Fighter Balmung," Synchro Monster  Warrior  2100  800","1 Tuner + 1 or more non-Tuner monsters When this card is destroyed by a card effect and sent to the Graveyard: You can target 1 Level 4 or lower monster in your Graveyard, except this card; Special Summon that target."
V Salamander," Effect Monster  Spellcaster  1500  1300","When this card is Normal Summoned: You can target 1 ""Utopia"" monster in your Graveyard; Special Summon that target. You can target 1 ""Number C39: Utopia Ray V"" you control; equip this monster you control to that target. Once per turn, while this card is equipped to a monster: You can detach 1 Xyz Material from the equipped monster; negate the equipped monster's effects (even after this card leaves the field or the monster becomes unaffected by card effects), and if you do, destroy all monsters your opponent controls, and if you do that, inflict 1000 damage to your opponent for each monster destroyed by this effect."
Vain Betrayer," Trap Card  Continuous","When an opponent's Xyz Monster declares an attack: Activate this card by targeting the attacking monster. It cannot attack, also its effects are negated. While that monster is on the field, during each of your opponent's End Phases: Send the top 3 cards of the opponent's Deck to the Graveyard. When that monster leaves the field, destroy this card."
Vertical Landing," Spell Card  Quick-Play","Tribute any number of WIND monsters, except Tokens; Special Summon an equal number of ""Mecha Phantom Beast Tokens"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). You can only activate 1 ""Vertical Landing"" per turn."
World of Prophecy," Effect Monster  Spellcaster  2900  2400","When this card is Special Summoned by the effect of a Spellcaster-Type monster or a ""Spellbook"" Spell Card: You can target 2 ""Spellbook"" Spell Cards in your Graveyard; add those targets to your hand. You cannot Special Summon other monsters during the turn you activate this effect. When you add card(s) to your hand by this effect: You can reveal 4 ""Spellbook"" Spell Cards with different names in your hand; destroy all other cards on the field."
Xyz Agent," Effect Monster  Spellcaster  900  300","If this card is in your Graveyard: You can target 1 ""Utopia"" Xyz Monster you control; attach this card from the Graveyard to it as an Xyz Material. You can only use the effect of ""Xyz Agent"" once per Duel."
Xyz Encore," Spell Card  Quick-Play","Target 1 face-up Xyz Monster your opponent controls that has Xyz Material; detach all Xyz Materials from it, and if you do, return it to the Extra Deck, then, if there is a Monster Card in the Graveyard among those detached Xyz Materials, Special Summon as many of those monsters as possible from the Graveyard to your opponent's side of the field in face-up Defense Position. Their Levels are reduced by 1 on the field. Cards and effects cannot be activated in response to this card's activation."
Xyz Reception," Spell Card  Normal","Target 1 face-up monster you control that has a Level; Special Summon 1 monster with the same Level as that monster from your hand. Its effects are negated, also its ATK and DEF become 0."
Xyz Revenge Shuffle," Trap Card  Normal","When a face-up Xyz Monster you control is targeted for an attack: Target 1 Xyz Monster in your Graveyard; return that face-up attack target to the Extra Deck, then Special Summon this card's target from the Graveyard, and if you do, attach this card to it, as an Xyz Material."
Xyz Reversal," Trap Card  Normal",Target 1 face-up Xyz Monster your opponent controls and 1 face-up Xyz Monster you control; switch control of both monsters.
Yellow Duston," Effect Monster  Fiend  1000","Cannot be used as a Fusion, Synchro, or Xyz Material for a Summon. While this card is face-up on the field, it cannot be Tributed. When this card on the field is destroyed: The controller targets 1 monster in their Graveyard; shuffle that target into the Deck. You can only control 1 face-up ""Yellow Duston""."
Number 106: Giant Hand," XYZ Monster  Rock  2000  2000","2 Level 4 monsters During either player's turn, when a monster effect is activated on your opponent's field (except during the Damage Step): You can detach 2 Xyz Materials from this card, then target 1 Effect Monster your opponent controls; while this card is face-up on the field, that Effect Monster's effects are negated, also it cannot change its battle position."
Azure-Eyes Silver Dragon," Synchro Monster  Dragon  2500  3000","1 Tuner + 1+ non-Tuner Normal Monsters If this card is Special Summoned: Until the end of the next turn, neither player can target Dragon monsters you currently control with card effects, also they cannot be destroyed by card effects. Once per turn, during your Standby Phase: You can target 1 Normal Monster in your GY; Special Summon it."
Castle of Dragon Souls," Trap Card  Continuous","Once per turn: You can banish 1 Dragon monster from your GY, then target 1 monster you control; it gains 700 ATK until the end of this turn (even if this card leaves the field). When this face-up card on the field is sent to the GY: You can target 1 of your banished Dragon monsters; Special Summon that target. You can only control 1 ""Castle of Dragon Souls""."
Dragon Shrine," Spell Card  Normal","Send 1 Dragon monster from your Deck to the GY, then, if that monster in your GY is a Dragon Normal Monster, you can send 1 more Dragon monster from your Deck to the GY. You can only activate 1 ""Dragon Shrine"" per turn."
